SPCD,variant,n,obs_mort,auc,common_name
101,CI,1307,0.38332058148431525,0.6694972338202008,SPCD 101
101,EC,379,0.41688654353562005,0.5807320006873246,SPCD 101
101,EM,3364,0.30350772889417366,0.76080583462189455,SPCD 101
101,IE,379,0.3825857519788918,0.6668140288829945,SPCD 101
101,KT,2229,0.31583669807088377,0.7633662444113264,SPCD 101
101,OC,414,0.021739130434782594,0.7481481481481481,SPCD 101
101,OP,112,0.2142857142857143,0.6841856060606061,SPCD 101
101,SO,283,0.2508833922261484,0.6534015413234122,SPCD 101
101,UT,8,0,NA,SPCD 101
101,WC,1,0,0,SPCD 101
101,WS,975,0.01538461538461533,0.6604166666666667,SPCD 101
102,CR,181,0.02209944751381221,0.7387005649717514,SPCD 102
103,BC,7,0.4285714285714286,1,SPCD 103
103,CA,169,0.4497041420118343,0.4912280701754386,SPCD 103
103,NC,40,0.44999999999999996,0.7121212121212122,SPCD 103
103,OC,112,0.3303571428571429,0.6237837837837837,SPCD 103
103,OP,20,0.19999999999999996,0.859375,SPCD 103
103,SO,11,0,NA,SPCD 103
103,WS,44,0,NA,SPCD 103
104,OC,143,0,NA,SPCD 104
104,WS,356,0.002808988764044895,0.13802816901408452,SPCD 104
105,ACD,7,0.2857142857142857,1,SPCD 105
105,CS,11,0.2727272727272727,1,SPCD 105
105,LS,1153,0.10754553339115347,0.9174347158218126,SPCD 105
105,NE,5,0.19999999999999996,1,SPCD 105
105,ON,1072,0.1175373134328358,0.9339071780932247,SPCD 105
106,CR,6430,0.0827371695178849,0.6494740156596985,SPCD 106
106,UT,5191,0.050664611828164174,0.7033564700508617,SPCD 106
107,SN,158,0.3291139240506329,0.5315674891146589,SPCD 107
108,AK,1171,0.07771135781383431,0.9534900284900285,Lodgepole pine
108,BC,6660,0.20840840840840846,0.6668322506373731,Lodgepole pine
108,BM,6681,0.11764705882352944,0.8111609657556863,Lodgepole pine
108,CA,414,0.19323671497584538,0.5895583832335329,Lodgepole pine
108,CI,5764,0.3499306037473976,0.6198655172692111,Lodgepole pine
108,CR,3306,0.2419842710223835,0.6536761771747805,Lodgepole pine
108,EC,5821,0.399931283284659,0.6055039632529664,Lodgepole pine
108,EM,16220,0.24327990135635014,0.6891788121223613,Lodgepole pine
108,IE,8734,0.21273185253034121,0.6812395151761075,Lodgepole pine
108,KT,13841,0.22043204970739105,0.6833920964851767,Lodgepole pine
108,NC,169,0.1124260355029586,0.66,Lodgepole pine
108,OC,2102,0.06422454804947664,0.7443672447231167,Lodgepole pine
108,OP,5617,0.1176784760548335,0.7085929553749242,Lodgepole pine
108,PN,370,0.08648648648648649,0.9110576923076923,Lodgepole pine
108,SO,13062,0.10182207931404075,0.7574773961839477,Lodgepole pine
108,UT,2030,0.2729064039408867,0.7081694598534433,Lodgepole pine
108,WC,862,0.19953596287703013,0.7343107516009437,Lodgepole pine
108,WS,4483,0.05710461744367612,0.755207409214573,Lodgepole pine
109,CA,17,0.05882352941176472,1,SPCD 109
109,OC,18,0.2222222222222222,0.7142857142857143,SPCD 109
109,WS,36,0.3055555555555556,0.7927272727272727,SPCD 109
110,CS,1626,0.03321033210332103,0.9318513806427292,SPCD 110
110,NE,13,0.07692307692307687,1,SPCD 110
110,SN,1152,0.1987847222222222,0.6050282210562671,SPCD 110
111,SN,2153,0.3381328379006038,0.599188355504145,SPCD 111
113,BC,90,0.2666666666666667,0.6231060606060606,SPCD 113
113,CI,197,0.2182741116751269,0.5040773180308064,SPCD 113
113,CR,358,0.1005586592178771,0.5908385093167702,SPCD 113
113,EM,1029,0.282798833819242,0.7140083256502668,SPCD 113
113,KT,586,0.3054607508532423,0.6944669402769962,SPCD 113
113,OC,47,0.021276595744680882,0.717391304347826,SPCD 113
113,UT,257,0.21011673151750976,0.5137748586024448,SPCD 113
113,WS,107,0.04672897196261683,0.8235294117647058,SPCD 113
114,CR,104,0.1826923076923077,0.5077399380804953,SPCD 114
115,SN,35,0.2571428571428571,0.6282051282051282,SPCD 115
116,BC,16,0.0625,0.6666666666666666,SPCD 116
116,CA,692,0.037572254335260125,0.6248556248556248,SPCD 116
116,NC,8,0.125,0.42857142857142855,SPCD 116
116,OC,2181,0.06006419073819347,0.6396648668776764,SPCD 116
116,OP,47,0.08510638297872342,0.9767441860465116,SPCD 116
116,SO,772,0.015544041450777257,0.6263157894736842,SPCD 116
116,WC,3,0,NA,SPCD 116
116,WS,3942,0.07762557077625576,0.5911824025539809,SPCD 116
117,BC,84,0.08333333333333337,0.8942486085343229,SPCD 117
117,CA,1203,0.13050706566916048,0.5997612987297682,SPCD 117
117,NC,55,0.12727272727272732,0.5446428571428571,SPCD 117
117,OC,1107,0.15537488708220415,0.6293682377813705,SPCD 117
117,OP,209,0.11483253588516751,0.6396396396396397,SPCD 117
117,SO,370,0.09189189189189184,0.6360294117647058,SPCD 117
117,WC,100,0.08999999999999997,0.9560439560439561,SPCD 117
117,WS,1448,0.21823204419889508,0.6396151093617212,SPCD 117
118,CR,10,0.30000000000000004,0,SPCD 118
119,BC,169,0.14201183431952658,0.764367816091954,SPCD 119
119,BM,8,0.125,1,SPCD 119
119,CA,240,0.17500000000000004,0.5447330447330447,SPCD 119
119,EC,217,0.2626728110599078,0.6323464912280702,SPCD 119
119,IE,331,0.2356495468277946,0.6770041552650248,SPCD 119
119,KT,67,0.11940298507462688,0.6716101694915254,SPCD 119
119,NC,100,0.24,0.5142543859649122,SPCD 119
119,OC,439,0.11161731207289294,0.6378859236002093,SPCD 119
119,OP,210,0.18571428571428572,0.7464387464387464,SPCD 119
119,PN,18,0.05555555555555558,0.8823529411764706,SPCD 119
119,SO,321,0.16822429906542058,0.7852684144818977,SPCD 119
119,WC,174,0.20114942528735635,0.7796505652620761,SPCD 119
119,WS,836,0.08971291866028708,0.6126325010950504,SPCD 119
120,OC,37,0.027027027027026973,0.9722222222222222,SPCD 120
121,SN,533,0.13508442776735463,0.5567305374789105,SPCD 121
122,BC,4587,0.08545890560279046,0.6271289922405195,Ponderosa pine
122,BM,14695,0.06757400476352504,0.709584666743985,Ponderosa pine
122,CA,3215,0.09735614307931573,0.6320373962652176,Ponderosa pine
122,CI,1231,0.11454102355808282,0.5499446938642722,Ponderosa pine
122,CR,5238,0.06032836960672017,0.6016149398978495,Ponderosa pine
122,CS,2,0,NA,Ponderosa pine
122,EC,4950,0.09919191919191916,0.5939227238533111,Ponderosa pine
122,EM,3943,0.11793050976413899,0.5688134943454093,Ponderosa pine
122,IE,1533,0.08871493803000652,0.6153259084593036,Ponderosa pine
122,KT,2902,0.09889731219848386,0.5536165648463368,Ponderosa pine
122,OC,3530,0.10934844192634563,0.625962438529183,Ponderosa pine
122,OP,7782,0.06733487535337956,0.6534800241481367,Ponderosa pine
122,PN,8,0,NA,Ponderosa pine
122,SO,16656,0.060218539865513954,0.5817565510839869,Ponderosa pine
122,UT,521,0.03262955854126681,0.6918767507002801,Ponderosa pine
122,WC,335,0.13432835820895528,0.8615325670498084,Ponderosa pine
122,WS,3058,0.13865271419228253,0.5943763341499405,Ponderosa pine
123,NE,6,0,NA,SPCD 123
123,SN,23,0.04347826086956519,1,SPCD 123
124,OC,12,0.16666666666666663,0.9,SPCD 124
125,ACD,149,0.02684563758389258,0.9775862068965517,SPCD 125
125,CS,59,0.06779661016949157,0.7818181818181819,SPCD 125
125,LS,2507,0.01595532508974873,0.9558471828131334,SPCD 125
125,NE,200,0.050000000000000044,0.9742105263157895,SPCD 125
125,ON,2419,0.014468788755684137,0.9738015340364333,SPCD 125
126,ACD,26,0.07692307692307687,1,SPCD 126
126,NE,418,0.055023923444976086,0.9225096312603193,SPCD 126
126,SN,54,0.07407407407407407,0.575,SPCD 126
127,CA,484,0.13429752066115708,0.49138975582889666,SPCD 127
127,OC,222,0.11261261261261257,0.4895431472081218,SPCD 127
127,WS,107,0.12149532710280375,0.3944353518821604,SPCD 127
128,NE,3,0,NA,SPCD 128
128,SN,126,0.19841269841269837,0.5433663366336634,SPCD 128
129,ACD,2221,0.06348491670418732,0.9219176213857065,White pine
129,CS,151,0.11258278145695366,0.9442493415276558,White pine
129,LS,1092,0.048534798534798584,0.8680879655692157,White pine
129,NE,2027,0.06166748889985196,0.9245846477392219,White pine
129,ON,1102,0.0490018148820327,0.9095631891433419,White pine
129,SN,309,0.11650485436893199,0.7186609686609686,White pine
130,ACD,3,0.33333333333333337,1,SPCD 130
130,BC,1,0,0,SPCD 130
130,CS,13,0.46153846153846156,0.9047619047619048,SPCD 130
130,LS,110,0.10909090909090913,0.7993197278911565,SPCD 130
130,NE,83,0.15662650602409633,0.967032967032967,SPCD 130
130,ON,94,0.07446808510638303,0.9967159277504105,SPCD 130
130,OP,2,0,NA,SPCD 130
130,PN,6,0.16666666666666663,0.6,SPCD 130
130,SN,1,0,0,SPCD 130
131,CS,27,0.14814814814814814,1,SPCD 131
131,NE,186,0.037634408602150504,0.9138068635275339,SPCD 131
131,ON,2,0,NA,SPCD 131
131,SN,13270,0.28538055764883197,0.6063241433164028,SPCD 131
132,CS,50,0.12,0.8257575757575758,SPCD 132
132,NE,123,0.1707317073170732,0.9841269841269842,SPCD 132
132,SN,710,0.23380281690140847,0.6831480333097094,SPCD 132
133,BC,1,0,0,SPCD 133
133,CR,59,0.03389830508474578,1,SPCD 133
133,OC,890,0.0730337078651685,0.6074032634032633,SPCD 133
133,TT,41,0.04878048780487809,1,SPCD 133
133,UT,8161,0.05403749540497493,0.6230972354399446,SPCD 133
133,WS,2212,0.07820976491862563,0.624263282182414,SPCD 133
134,CR,115,0.13043478260869568,0.56,SPCD 134
135,CR,4,0.25,0,SPCD 135
136,LS,14,0,NA,SPCD 136
136,NE,1,0,0,SPCD 136
136,ON,11,0.09090909090909094,1,SPCD 136
137,OC,18,0.05555555555555558,0.7058823529411765,SPCD 137
137,SO,5,0,NA,SPCD 137
137,WS,31,0.032258064516129004,0.6333333333333333,SPCD 137
140,CR,78,0.16666666666666663,0.40236686390532544,SPCD 140
142,OC,42,0,NA,SPCD 142
142,UT,75,0.026666666666666616,0.0410958904109589,SPCD 142
142,WS,112,0.017857142857142905,0.9954545454545455,SPCD 142
143,CR,359,0.03064066852367686,0.6925287356321839,SPCD 143
201,OC,14,0.2857142857142857,0.75,SPCD 201
201,WS,37,0.32432432432432434,0.6666666666666667,SPCD 201
202,BC,14276,0.08987111235640233,0.6684034973205489,Douglas fir
202,BM,9083,0.07013101398216448,0.6418636672687618,Douglas fir
202,CA,7326,0.11206661206661206,0.6151258143974325,Douglas fir
202,CI,7289,0.1627109342845383,0.6731452947006683,Douglas fir
202,CR,2731,0.12193335774441594,0.5984716993891306,Douglas fir
202,CS,1,0,0,Douglas fir
202,EC,15899,0.13560601295678976,0.6010017648384194,Douglas fir
202,EM,11935,0.09560117302052784,0.583964587720935,Douglas fir
202,IE,11479,0.09634985625925607,0.6419785229737308,Douglas fir
202,KT,12434,0.09096027022679753,0.5859477382631137,Douglas fir
202,LS,3,0.33333333333333337,1,Douglas fir
202,NC,5892,0.07739307535641549,0.6947796851400023,Douglas fir
202,NE,7,0.4285714285714286,1,Douglas fir
202,OC,7117,0.09245468596318673,0.5752579633705426,Douglas fir
202,ON,2,0,NA,Douglas fir
202,OP,15172,0.06729501713683106,0.6738544276642352,Douglas fir
202,PN,24798,0.07194128558754742,0.9112584180578716,Douglas fir
202,SO,815,0.09079754601226997,0.6029653134916293,Douglas fir
202,TT,43,0.023255813953488413,0.7380952380952381,Douglas fir
202,UT,1527,0.13163064833005889,0.6798286095915596,Douglas fir
202,WC,18840,0.06799363057324836,0.7089166849945265,Douglas fir
202,WS,3083,0.09730781706130387,0.446064199305306,Douglas fir
211,BC,4,0,NA,SPCD 211
211,NC,52,0,NA,SPCD 211
211,OC,2088,0.01388888888888884,0.7695064560968665,SPCD 211
211,OP,10,0,NA,SPCD 211
212,BC,1,0,0,SPCD 212
212,OC,7,0,NA,SPCD 212
212,OP,1,0,0,SPCD 212
212,PN,6,0.33333333333333337,1,SPCD 212
212,WS,16,0,NA,SPCD 212
221,CS,3,0,NA,SPCD 221
221,SN,262,0.05343511450381677,0.663594470046083,SPCD 221
222,SN,371,0.0539083557951483,0.6407407407407407,SPCD 222
231,AK,1,0,0,SPCD 231
231,BC,82,0.07317073170731703,0.5614035087719298,SPCD 231
231,BM,26,0,NA,SPCD 231
231,CA,35,0,NA,SPCD 231
231,EC,35,0.02857142857142858,1,SPCD 231
231,IE,107,0.01869158878504673,0.5333333333333333,SPCD 231
231,KT,32,0,NA,SPCD 231
231,NC,5,0,NA,SPCD 231
231,OC,48,0.04166666666666663,0.5978260869565217,SPCD 231
231,OP,105,0.07619047619047614,0.7667525773195876,SPCD 231
231,PN,44,0.022727272727272707,0.7906976744186046,SPCD 231
231,SO,4,0,NA,SPCD 231
231,WC,233,0.09442060085836912,0.5191727703576045,SPCD 231
231,WS,15,0,NA,SPCD 231
241,ACD,3120,0.02051282051282055,0.9421680710078534,White cedar
241,LS,3855,0.008041504539558986,0.9633132001619652,White cedar
241,NE,1562,0.01920614596670933,0.920757180156658,White cedar
241,ON,4061,0.008372322088155637,0.9153580975474371,White cedar
242,AK,1894,0.017951425554382228,0.9838393421884883,SPCD 242
242,BC,1541,0.0350421804023362,0.6239258761114848,SPCD 242
242,EC,1227,0.03667481662591687,0.5196653506298177,SPCD 242
242,IE,2967,0.06538591169531516,0.4253664756990271,SPCD 242
242,KT,666,0.0855855855855856,0.3039207213435889,SPCD 242
242,NC,22,0.045454545454545414,1,SPCD 242
242,OC,4,0.25,1,SPCD 242
242,OP,745,0.03892617449664426,0.4388364476979387,SPCD 242
242,PN,2561,0.03358063256540411,0.8871270848015034,SPCD 242
242,WC,2358,0.038592027141645446,0.6317105920105479,SPCD 242
251,CA,5,0,NA,SPCD 251
251,OC,24,0.16666666666666663,0.475,SPCD 251
251,WS,49,0.10204081632653061,0.42272727272727273,SPCD 251
261,ACD,2692,0.01634472511144136,0.8768281378742104,Eastern hemlock
261,LS,474,0.01898734177215189,0.9835125448028674,Eastern hemlock
261,NE,2720,0.023897058823529438,0.9296305953933073,Eastern hemlock
261,ON,539,0.011131725417439675,0.9887429643527205,Eastern hemlock
261,SN,158,0.189873417721519,0.759375,Eastern hemlock
263,AK,12275,0.06778004073319754,0.9158273617058463,Western hemlock
263,BC,3994,0.06885327991987977,0.7646200102666895,Western hemlock
263,EC,1733,0.027697634160415485,0.6705242334322453,Western hemlock
263,IE,1361,0.059515062454077894,0.5510898919753087,Western hemlock
263,KT,277,0.06498194945848379,0.6439296439296439,Western hemlock
263,NC,588,0.06462585034013602,0.8014832535885168,Western hemlock
263,OC,57,0.10526315789473684,0.7712418300653595,Western hemlock
263,OP,2874,0.0727209464161448,0.655026616515705,Western hemlock
263,PN,10879,0.07298464932438642,0.8822782170193156,Western hemlock
263,SO,42,0,NA,Western hemlock
263,WC,9633,0.0689297207515831,0.7819037326695566,Western hemlock
264,AK,7751,0.047219713585343825,0.9489653743557869,SPCD 264
