variant,size_class,n,obs_mort_rate,pred_mort_rate,resid_rate
SN,SmallSaw (9-15),11514,0.15997915581031785,0.1517511684317323,-0.008227987378585544
SN,MedSaw (15-21),2622,0.1243325705568269,0.12021618510997778,-0.0041163854468491134
SN,LargeSaw (21+),656,0.11280487804878048,0.15344189561171506,0.040637017562934585
SO,Sapling (1-5),5810,0.05955249569707399,0.07133320886983019,0.011780713172756196
SO,Pole (5-9),21045,0.08139700641482539,0.08142073515087345,2.3728736048056476e-5
SO,SmallSaw (9-15),11751,0.10603352906135644,0.08685362376375949,-0.019179905297596944
SO,MedSaw (15-21),3600,0.07833333333333337,0.08760050484767723,0.009267171514343864
SO,LargeSaw (21+),7794,0.07338978701565302,0.08174048928237154,0.008350702266718524
TT,Sapling (1-5),28,0,0.025049620211848755,0.025049620211848755
TT,Pole (5-9),289,0.04498269896193774,0.035783567600779276,-0.009199131361158464
TT,SmallSaw (9-15),176,0.03977272727272729,0.03738590340122272,-0.002386823871504573
TT,MedSaw (15-21),40,0.025000000000000022,0.04459572917258636,0.01959572917258634
TT,LargeSaw (21+),8,0.25,0.1100826420196459,-0.1399173579803541
UT,Sapling (1-5),5886,0.07390417940876659,0.07958006336046808,0.005675883951701488
UT,Pole (5-9),23061,0.0938814448636226,0.09200907034891137,-0.001872374514711228
UT,SmallSaw (9-15),14701,0.08400789061968572,0.08248042716380188,-0.0015274634558838374
UT,MedSaw (15-21),4714,0.06979210861264318,0.06931011019445044,-4.819984181927417e-4
UT,LargeSaw (21+),1638,0.0494505494505495,0.04672442283796907,-0.002726126612580426
WC,Sapling (1-5),4124,0.08341416100872934,0.09603720480076527,0.012623043792035937
WC,Pole (5-9),17844,0.09790405738623631,0.08920788261482215,-0.008696174771414156
WC,SmallSaw (9-15),11962,0.07607423507774624,0.07713820386142867,0.001063968783682423
WC,MedSaw (15-21),4644,0.06287683031869074,0.06616474452383991,0.0032879142051491783
WC,LargeSaw (21+),11426,0.058113075441974416,0.05981441647988062,0.001701341037906201
WS,Sapling (1-5),3159,0.116176005064894,0.1314044942063315,0.015228489141437485
WS,Pole (5-9),15582,0.1340007701193685,0.12803901741520796,-0.00596175270416055
WS,SmallSaw (9-15),10431,0.126929345220976,0.11926411708171425,-0.007665228139261737
WS,MedSaw (15-21),4322,0.12193428968070341,0.11453002009217828,-0.007404269588525136
WS,LargeSaw (21+),16506,0.12383375742154368,0.12380064983930006,-3.310758224361887e-5
