variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
ln_DDS_rep[85],3.23250251675,3.237635,0.6718466399627667,0.6589267439999998,2.09066,4.342369499999999,0.9997851638629354,3644.6319519249832,3827.9781190439253
ln_DDS_rep[86],3.1086983695,3.114815,0.6679428517271039,0.6712916279999999,2.0113585,4.185636999999999,0.9999984303051556,3994.677655789465,3973.5303728078147
ln_DDS_rep[87],3.3442347295,3.35041,0.6689354200879969,0.684479355,2.2697580000000004,4.442216999999999,0.9995529526003128,4010.9838304870186,3651.9674362488445
ln_DDS_rep[88],2.9062002205,2.89825,0.6704034186979597,0.6561098040000002,1.7922455000000002,4.016290499999999,1.0004195279257242,4360.324486534066,3912.889896512258
ln_DDS_rep[89],3.5188403525,3.517405,0.6706454536693234,0.6886602870000001,2.4198765,4.60032,1.0000475314741446,3947.6315756355357,3959.781275246925
ln_DDS_rep[90],2.98469303825,2.985865,0.6792561755444458,0.6775556129999998,1.8628305,4.087920999999999,1.0007953668931433,4201.815125160798,3709.353419298423
ln_DDS_rep[91],4.2081255875,4.2138,0.7203767718878599,0.7019814480000002,2.9941305,5.4053035000000005,0.9994524492292308,4129.969666340776,3929.092957787065
ln_DDS_rep[92],1.509484993605,1.5046599999999999,0.671461257999025,0.64930467,0.42952640000000014,2.6207579999999995,0.9997479258536947,3859.8061798130634,3805.7955287405475
ln_DDS_rep[93],2.4722523517,2.4776350000000003,0.6653649358030711,0.663159567,1.389859,3.563640499999999,1.000940761293674,3926.9876332057424,3788.44124974417
ln_DDS_rep[94],1.734034616937475,1.7475550000000002,0.6646353370014201,0.6710618249999997,0.62714165,2.8165505,1.0002839895799742,4209.411935541933,3848.655737664297
ln_DDS_rep[95],0.83643279297675,0.835379,0.6648998370675846,0.6507650309999999,-0.25759205,1.9376775,1.0013032501008177,3955.0530336718857,4015.147454812857
ln_DDS_rep[96],2.814289052,2.809455,0.6753199737993497,0.6729966179999999,1.7162735,3.9363274999999995,1.0004380145974023,4283.122334343933,4148.163676913668
ln_DDS_rep[97],1.5608719193475,1.5590600000000001,0.6705726132945266,0.6971778239999998,0.47341360000000005,2.658363,0.9997220520301691,3958.265233619571,3792.5203871315052
ln_DDS_rep[98],1.9162486691375,1.92849,0.6680129637142349,0.6734784629999999,0.80090185,2.9961655,1.0011263076800334,3759.191777385308,3609.8837585689344
ln_DDS_rep[99],0.796942177947,0.794868,0.674294654360127,0.6781960962000001,-0.29377424999999996,1.9106214999999998,1.000114136760441,3846.7025047999437,3891.6910793603433
ln_DDS_rep[100],2.14041760175,2.1372549999999997,0.6674057741757435,0.6725147730000001,1.0305265000000001,3.2369294999999996,0.9998723541751122,3991.8930016909835,3814.3507251658752
ln_DDS_rep[101],0.88616174998075,0.8967015,0.673636331694309,0.6849597174000001,-0.23317255,1.9719869999999988,1.0011174979256743,4138.917091500161,3886.036600025746
ln_DDS_rep[102],1.26700608896,1.258825,0.6708679351695275,0.6764762802,0.1614809,2.3586604999999974,1.0001467914966626,4042.688822269416,4018.257858310217
ln_DDS_rep[103],1.0170795293675,1.013445,0.672241874845262,0.6570586679999999,-0.08652139499999997,2.115744999999999,1.0012323548087882,3473.8187417988606,3644.7399659554926
ln_DDS_rep[104],0.9280404225925,0.9286075,0.6737137995114586,0.6726519135,-0.18173369999999994,2.0694629999999985,0.999508857040484,4081.5041725354736,3971.537333926383
ln_DDS_rep[105],-0.21734130654975,-0.2220785,0.6867651329922618,0.6840738639,-1.3274394999999999,0.9200998999999982,0.9995863282542228,3748.682439239073,3796.586259605206
ln_DDS_rep[106],0.10602028616975,0.08512924999999999,0.6812463635580321,0.66555581925,-1.0281405,1.2472584999999996,0.9997550786443856,3546.3103198724098,3957.329077757829
ln_DDS_rep[107],1.978671779975,1.97009,0.6686923373393512,0.6649164480000002,0.8950211000000001,3.093818499999998,1.0003114407215279,3763.6993296238543,4013.5854223906304
ln_DDS_rep[108],1.51499218258,1.51563,0.673304394037414,0.660135063,0.39727245,2.6185664999999996,1.000336131323186,3914.9354942475984,3859.18484668449
ln_DDS_rep[109],1.449616740055,1.460885,0.6685442636921758,0.6806838989999999,0.34877559999999996,2.5238264999999998,1.00046324545679,3620.6464913987475,3886.794868988502
ln_DDS_rep[110],2.3138322127675,2.318425,0.6544313013606577,0.6527887799999998,1.2154185000000002,3.3743919999999994,0.9998726195994275,3827.212711013505,3896.9992029893183
ln_DDS_rep[111],0.03105528100775,0.033290600000000004,0.6732274818485295,0.6737905502999999,-1.067335,1.133939999999999,1.0016330450194164,3840.840525705138,4070.68046245036
ln_DDS_rep[112],1.37705570924325,1.378095,0.6698314364990307,0.6707282399999999,0.27063680000000007,2.503494,1.0010417703878356,3948.777581968937,3810.950068077011
ln_DDS_rep[113],1.2426044049675,1.230815,0.6683093026019601,0.6576821012999999,0.16561805000000002,2.3584609999999993,0.9999122272022806,4116.418547535661,4058.639152932454
ln_DDS_rep[114],2.1157559565,2.121295,0.6651633915869941,0.6524996730000002,1.0154315,3.2165094999999995,1.0006163233012628,4106.941383607268,3586.0470174122966
ln_DDS_rep[115],1.5863021325385,1.580575,0.6620691815389922,0.657659121,0.5107928500000001,2.6678274999999996,1.0005280974020065,4118.3689285615765,3822.565663427249
ln_DDS_rep[116],1.10307315287165,1.10355,0.6573525140257529,0.6600424004999998,0.040541765000000014,2.1962279999999987,0.9997340257595108,3866.873426244309,3627.38289818807
ln_DDS_rep[117],1.9529714135575,1.97586,0.6769564718553621,0.6710395859999999,0.8347426,3.072417,1.0005949306422837,3912.7402021907633,3837.902688845968
ln_DDS_rep[118],2.5837942395,2.59149,0.6737500980357742,0.6844571159999996,1.451421,3.701107999999999,1.000525696288162,4026.8391177074363,3659.9773437064027
ln_DDS_rep[119],1.4892951219805,1.4966599999999999,0.6763006547934447,0.664234452,0.3574661,2.6024305,1.0002720676809904,4171.495655017917,3931.4499467594665
ln_DDS_rep[120],2.32364292075,2.311115,0.6559135950269156,0.6682597109999998,1.242842,3.3990555000000002,1.000249547103713,3786.3855989693675,3827.369863736282
ln_DDS_rep[121],2.79514390625,2.805575,0.6950693417226393,0.6819811740000001,1.6365239999999999,3.93786,0.9997849272676385,3920.0216642998403,4032.3275135717463
ln_DDS_rep[122],2.0519742576525,2.0575200000000002,0.6606408991641896,0.6442045259999996,0.9611105999999999,3.14683,0.9997851158620847,4173.858169125091,4016.53234190868
ln_DDS_rep[123],2.36243072551,2.368365,0.6568744081339507,0.6524181299999997,1.27963,3.422784499999999,1.0007052641140264,4011.907513968404,3967.2463949874564
ln_DDS_rep[124],1.19925345645025,1.19428,0.6694782500905434,0.6853918953,0.09304899000000008,2.2977264999999996,1.000264088603467,4128.490808094517,3916.784555583235
ln_DDS_rep[125],1.267540219365,1.2673,0.6716200149932463,0.6776712557999999,0.15229345000000002,2.359546,0.9998082013004477,4254.601071054554,4102.475060149186
ln_DDS_rep[126],2.429848105,2.424015,0.6734671373975698,0.701077062,1.3033620000000001,3.542354,1.0003171745435517,4170.519606299758,3932.9018730684215
ln_DDS_rep[127],1.477752551895,1.4756900000000002,0.6728089923577034,0.6587933099999996,0.37672520000000004,2.5914010000000003,1.0001065027292375,4210.1691033581865,3852.2770730125953
ln_DDS_rep[128],2.52981501975,2.5186200000000003,0.6743669370227549,0.6752501700000005,1.4452915,3.6392925,1.0013366182475711,4210.551873020364,3973.2701367112372
ln_DDS_rep[129],0.0241753884543,0.04367715,0.6847682134559355,0.68443094811,-1.1485729999999998,1.1552405000000001,0.9996382268241509,4197.857887919633,3900.8543404980874
ln_DDS_rep[130],0.53470247503625,0.5338075,0.678050025295855,0.68046462246,-0.59470275,1.6491339999999994,1.0006192185137832,4048.596020462391,4143.101898583606
ln_DDS_rep[131],1.30093257213,1.299395,0.6873932242251168,0.6819596763,0.15669889999999997,2.4196315,0.9999932032565794,3761.092350395904,3724.0220972377856
ln_DDS_rep[132],1.3977654190575,1.3890850000000001,0.6682376861566973,0.6623589629999999,0.28811125000000004,2.5093734999999997,0.9998753426909169,3392.8117760011096,3831.553063603429
ln_DDS_rep[133],1.21623315938075,1.2259449999999998,0.663420002377366,0.6398716274999999,0.12070035000000001,2.302853,1.0005527037792157,3887.839711286659,3479.6521151526467
ln_DDS_rep[134],2.23764839695,2.2317150000000003,0.6869988808180374,0.6629149379999993,1.089919,3.3695464999999998,1.0000750512624035,3850.2237172304185,3727.430026042523
ln_DDS_rep[135],1.60317026395,1.586025,0.6667417366025072,0.651795438,0.5035024,2.7130975,1.0000031821523065,3982.1524631828474,3760.5385688679944
ln_DDS_rep[136],2.7874758585,2.80178,0.697438890302714,0.7010399969999999,1.6338165,3.944193,1.000504506042684,3937.5903147283097,3941.151341595765
ln_DDS_rep[137],1.97695454415,1.9725000000000001,0.6629574658100488,0.6527739539999997,0.8883752,3.0776489999999996,0.9997024872461309,3632.174532909317,3526.0554917434156
ln_DDS_rep[138],1.2004384448485,1.203545,0.6659318596595375,0.6654946619999997,0.12602300000000002,2.3070534999999994,1.000374325222528,4071.8500737174145,3861.677438059281
ln_DDS_rep[139],1.12576073961875,1.11422,0.6583734095827523,0.6693123569999999,0.07499722500000003,2.1828739999999995,0.9996862441840922,3910.8686770204426,3848.6541326319634
