PLOT,MEASYEAR,PUB_LAT,PUB_LONG,FIRST_CN,FIRST_PLTCN,COUNTYCD,FIRST_INVYR,ALL_TRTCD,CYCLE5_MMT,CYCLE6_MMT,CYCLE7_MMT,CYCLE8_MMT,2021
505,2001,44.1635,-70.45272,70164352010538,52884128010538,17,2001,10,0.2,0.232,0.274,0.177,0.071
506,1999,46.59575,-68.87192,71936510010538,52751098010538,3,1999,0,0.061,0.098,0.15,0.207,0.263
507,2001,45.43864,-70.19878,70195962010538,52930368010538,25,2001,10,0.542,0.35,0.382,0.368,0.385
508,2001,46.07753,-69.66465,70187396010538,52921462010538,21,2001,10,0.249,0.176,0.053,0.085,0.143
509,2001,45.36262,-68.90228,70178368010538,52912021010538,21,2001,10,0.061,0.109,0.196,0.288,0.316
510,2000,46.00932,-69.3711,71975391010538,52833747010538,21,2000,0,0.008,0.01,0.011,0.014,0.013
511,2000,44.00512,-69.58592,72003383010538,52790488010538,15,2000,0,0.003,0.01,0.013,0.014,0.016
512,2001,46.37707,-67.79849,70132088010538,52908916010538,3,2001,0,0.016,0.02,0.022,0.017,0.021
513,1999,44.03985,-70.6403,71948346010538,52725621010538,5,1999,0,0.381,0.297,0.408,0.423,0.475
514,1999,47.26549,-68.49581,71942970010538,52720232010538,3,1999,10,0.043,0.048,0.042,0.042,0.027
515,1999,44.15608,-70.70581,71919778010538,52739629010538,17,1999,0,0.524,0.551,0.595,0.656,0.614
516,2001,45.09412,-68.12723,70156971010538,52876402010538,9,2001,0,0.179,0.226,0.261,0.263,0.302
517,2000,44.87458,-67.79359,71994272010538,52853467010538,29,2000,10,0.288,0.314,0.143,0.133,0.133
518,2000,46.18789,-67.81133,72021478010538,52816945010538,3,2000,30,0.048,0.06,0.065,0.075,0.081
519,2000,43.94869,-70.27517,72032720010538,52776416010538,5,2000,10,0.145,0.076,0.087,0.097,0.115
520,1999,46.11696,-69.91095,71901344010538,52704877010538,25,1999,10,0.251,0.193,0.215,0.155,0.194
521,2000,45.48977,-70.50823,72037428010538,52848187010538,7,2000,10,0.263,0.222,0.037,0.071,0.105
522,2001,45.32199,-69.7343,70193610010538,52927969010538,25,2001,10,0.047,0.042,0.072,0.104,0.156
523,2001,44.81879,-69.54517,70193975010538,52928342010538,25,2001,10,0.001,0.01,0.001,0.004,0.012
524,1999,46.91348,-68.21075,71940214010538,52945343010538,3,1999,10,0.199,0.221,0.239,0.259,0.301
525,1999,46.82682,-69.31542,71944121010538,52721397010538,3,1999,10,0.347,0.381,0.407,0.271,0.304
526,2001,44.20696,-69.23231,70161190010538,52880780010538,13,2001,10,0.535,0.526,0.564,0.533,0.552
527,2000,45.08628,-67.16894,71994870010538,52854082010538,29,2000,10,0.181,0.164,0.182,0.207,0.233
528,2000,44.75927,-69.83442,71977883010538,52836247010538,25,2000,10,0.313,0.105,0.124,0.171,0.185
529,2001,46.14275,-68.40988,70133684010538,52860307010538,3,2001,10,0.193,0.036,0.056,0.074,0.1
530,2000,47.23805,-68.06199,72014536010538,52809573010538,3,2000,10,0.154,0.162,0.172,0.181,0.057
531,2000,46.82481,-68.46208,72025588010538,52769233010538,3,2000,10,0.284,0.331,0.039,0.001,0
532,2000,44.21009,-70.60946,72005642010538,52792846010538,17,2000,10,0.321,0.337,0.402,0.436,0.463
533,2001,44.33196,-68.1865,70156644010538,52876067010538,9,2001,0,0.086,0.083,0.109,0.115,0.133
534,2001,44.25132,-70.58121,70164520010538,52884298010538,17,2001,0,0.229,0.274,0.303,0.328,0.118
535,2001,43.57787,-70.73885,70125515010538,52942838010538,31,2001,0,0.324,0.359,0.403,0.454,0.505
536,2000,44.79647,-68.41937,72041772010538,52785807010538,9,2000,0,0.226,0.244,0.247,0.269,0.287
537,2001,44.68923,-69.81646,70191688010538,52925907010538,25,2001,0,0,0,0,0.009,0.011
538,2000,45.28132,-68.62187,72045229010538,52801115010538,19,2000,50,0.018,0.087,0.137,0.181,0.268
539,2001,46.11287,-68.80918,70170755010538,52890854010538,19,2001,0,0.18,0.231,0.284,0.277,0.318
540,2001,45.55999,-68.14176,70173062010538,52893254010538,19,2001,10,0.034,0.04,0.047,0.052,0.058
541,1999,45.26475,-70.59991,71948909010538,52726195010538,7,1999,0,0.262,0.326,0.357,0.407,0.428
542,2001,46.76288,-67.85175,70146591010538,52903479010538,3,2001,0,0,0,0,0,0
543,1999,43.94402,-70.85239,71922717010538,52757779010538,17,1999,0,0,0,0,0,0
544,2001,43.73914,-70.21038,70148675010538,52867780010538,5,2001,10,0.142,0.306,0.345,0.394,0.433
545,1999,44.9337,-67.35585,71908624010538,52712385010538,29,1999,0,0.186,0.224,0.288,0.288,0.353
546,2001,45.21887,-68.98852,70178212010538,52911863010538,21,2001,0,0,0,0,0,0
547,2000,45.44027,-70.42746,71986565010538,52845358010538,25,2000,0,0.265,0.265,0.272,0.206,0.123
548,2001,44.89901,-70.99609,70163833010538,52883577010538,17,2001,10,0.076,0.074,0.093,0.125,0.032
549,2000,43.62414,-70.26095,71948329010538,52725603010538,5,1999,0,0,0,0,0,0
550,2000,45.08643,-69.98097,71979183010538,52837542010538,25,2000,10,0.064,0.068,0.101,0.157,0.203
551,1999,45.18428,-70.48805,71952673010538,52729995010538,7,1999,0,0,0,0.06,0.055,0
552,1999,45.10318,-68.58572,71962614010538,52767519010538,19,1999,10,0.154,0.169,0.032,0.07,0
553,2001,45.34226,-69.9113,70191460010538,52925675010538,25,2001,50,0.031,0.087,0.137,0.202,0.124
554,2000,44.48842,-67.89922,71993844010538,52853013010538,29,2000,0,0.021,0.036,0.013,0.016,0.02
555,2000,46.68103,-67.96581,72020173010538,52815609010538,3,2000,0,0,0,0,0,0
556,2001,46.22503,-69.55012,70187149010538,52921209010538,21,2001,10,0.417,0.355,0.242,0.281,0.33
557,2000,46.78041,-68.71333,72030836010538,52774550010538,3,2000,0,0.452,0.495,0.449,0.428,0.411
558,1999,44.66203,-68.30597,71956122010538,52733440010538,9,1999,0,0.001,0.002,0.003,0.004,0.005
559,2000,45.52294,-69.77424,71989519010538,52848455010538,25,2000,0,0.167,0.171,0.225,0.257,0.266
560,2000,43.64121,-70.89002,72000093010538,52859435010538,31,2000,0,0.1,0.122,0.163,0.194,0.219
561,2001,46.76363,-68.44279,70142804010538,52899445010538,3,2001,10,0.271,0.262,0.256,0.016,0.027
562,2001,44.73547,-67.23832,70121455010538,52938641010538,29,2001,0,0.114,0.151,0.216,0.242,0.245
563,2000,46.51287,-68.5047,72015109010538,52810224010538,3,2000,0,0.374,0.433,0.41,0.432,0.444
564,2000,45.25577,-67.64987,71991305010538,52850401010538,29,2000,0,0.113,0.143,0.206,0,0
565,1999,45.73062,-68.53447,71958171010538,52762924010538,19,1999,10,0.163,0.162,0.191,0.198,0.249
566,1999,45.39674,-69.49171,71878181010538,52681355010538,21,1999,0,0.056,0.077,0.151,0.237,0.274
567,1999,46.74777,-68.14588,71939044010538,52753649010538,3,1999,0,0.059,0.084,0.093,0.104,0.128
568,2001,44.62863,-69.88209,70194409010538,52928787010538,25,2001,0,0.003,0.011,0.018,0.034,0.056
569,1999,43.79887,-70.44832,71947619010538,52724875010538,5,1999,10,0.171,0.025,0.041,0.099,0.15
570,2000,43.90182,-69.92309,72032635010538,52776330010538,5,2000,0,0.046,0.052,0.055,0.06,0.065
571,2001,45.28236,-68.2662,70173196010538,52893392010538,19,2001,50,0,0.001,0.064,0.143,0.196
572,2001,44.27969,-69.00958,70199734010538,52934220010538,27,2001,10,0.08,0.114,0.241,0.339,0.387
573,2000,44.75108,-67.09148,71993237010538,52852383010538,29,2000,0,0.35,0.385,0.406,0.412,0.427
574,2000,44.39492,-69.76012,72001344010538,52788327010538,11,2000,0,0.039,0.042,0.045,0.047,0.045
575,1999,46.57114,-68.52345,71945874010538,52723142010538,3,1999,0,0.259,0.3,0.339,0.35,0.35
576,2001,46.68129,-68.3567,70142466010538,52899061010538,3,2001,10,0.193,0.278,0.322,0.154,0.201
577,2000,45.01758,-68.81479,72044440010538,52800294010538,19,2000,0,0.487,0.544,0.566,0.628,0.678
578,1999,45.6946,-67.85877,71934326010538,52748799010538,3,1999,10,0.049,0.092,0.175,0.049,0.058
579,1999,44.14712,-70.91165,71922590010538,52757651010538,17,1999,10,0.156,0.185,0.232,0.291,0.35
580,1999,45.03179,-69.83377,71897472010538,52700964010538,25,1999,0,0,0,0,0,0
581,2000,46.65066,-69.01534,72015325010538,52810453010538,3,2000,10,0.188,0.243,0.264,0.324,0.341
582,1999,45.6559,-69.31083,71882056010538,52685514010538,21,1999,0,0.246,0.167,0.212,0.225,0.221
583,2000,44.96406,-67.89265,71994520010538,52853720010538,29,2000,50,0.002,0.041,0.104,0.143,0.196
584,2000,44.75776,-68.63222,72044940010538,52800807010538,19,2000,0,0,0,0,0,0
585,2001,44.89677,-69.47199,70194009010538,52928377010538,25,2001,10,0.232,0.271,0.294,0.343,0.355
586,1999,44.06689,-70.82662,71947962010538,52725233010538,5,1999,0,0.088,0.098,0.114,0.129,0.132
587,2000,47.05223,-68.70067,72015967010538,52811166010538,3,2000,10,0.362,0.464,0.479,0.352,0.412
588,1999,45.4173,-68.51127,71958710010538,52763489010538,19,1999,0,0,0,0,0,0
589,2000,43.85854,-70.72608,72033033010538,52776741010538,5,2000,10,0.1,0.113,0.073,0.085,0.113
590,1999,44.41771,-69.91411,71915326010538,52735094010538,11,1999,10,0.325,0.321,0.384,0.357,0
591,2000,46.49241,-68.69426,72019439010538,52814871010538,3,2000,10,0.302,0.287,0.184,0.216,0.219
592,2000,44.81202,-70.35068,72035896010538,52779769010538,7,2000,0,0.367,0.369,0.421,0.44,0.443
593,2000,45.54872,-70.14176,71979580010538,52837945010538,25,2000,10,0.166,0.164,0.068,0.074,0.085
594,2001,45.95994,-68.76645,70175888010538,52896147010538,19,2001,0,0,0,0,0,0
595,2000,46.58905,-69.06006,72027987010538,52771663010538,3,2000,0,0.103,0.182,0.246,0.31,0.383
596,2001,46.44455,-68.77137,70146359010538,52903240010538,3,2001,0,0.423,0.43,0.357,0.329,0.277
597,2000,47.16048,-68.14136,72012614010538,52807599010538,3,2000,0,0.348,0.306,0.295,0.346,0
598,1999,45.208,-68.31131,71959200010538,52764005010538,19,1999,10,0.289,0.121,0.046,0.085,0.117
599,2000,45.18746,-69.66117,71974927010538,52833276010538,21,2000,10,0.031,0.018,0.043,0.065,0.092
600,2001,45.5803,-70.56213,70153190010538,52872505010538,7,2001,0,0.122,0.131,0.153,0.19,0.2
601,2000,44.14014,-69.35554,72003202010538,52790305010538,15,2000,50,0.226,0.155,0.151,0.193,0.25
602,2001,45.07816,-70.30052,70151398010538,52870682010538,7,2001,0,0.349,0.354,0.338,0.365,0.292
603,2001,46.34889,-68.21983,70128766010538,52905284010538,3,2001,10,0.158,0.221,0.23,0.252,0.256
604,2001,44.20908,-69.6846,70160047010538,52879594010538,11,2001,0,0.017,0.028,0.049,0.057,0
605,1999,45.93035,-68.46755,71963053010538,52767962010538,19,1999,0,0.218,0.243,0.296,0.318,0.343
606,2001,46.84026,-68.02149,70142644010538,52899272010538,3,2001,10,0.385,0.472,0.487,0.338,0.356
607,2000,46.16975,-68.23045,72023461010538,52820064010538,3,2000,10,0.061,0.107,0.156,0.185,0.226
608,1999,46.00728,-70.20356,71901756010538,52705292010538,25,1999,10,0.173,0.133,0.191,0.172,0.202
609,1999,46.26172,-68.58875,71963892010538,52768811010538,19,1999,0,0,0,0,0,0
610,2001,44.68684,-69.65809,70191755010538,52925976010538,25,2001,10,0.224,0.222,0.171,0.138,0.142
611,1999,46.73308,-69.1809,71928366010538,52742502010538,3,1999,10,0.367,0.404,0.29,0.367,0.414
612,2000,43.60084,-70.78157,71998816010538,52858129010538,31,2000,0,0.019,0.074,0.084,0.113,0.172
613,1999,44.18285,-70.50684,71921268010538,52756316010538,17,1999,10,0.156,0.212,0,0.002,0.016
614,1999,43.80892,-70.61034,71948157010538,52725429010538,5,1999,10,0.356,0.412,0.491,0.179,0.101
615,2001,45.87169,-68.64487,70174442010538,52894663010538,19,2001,10,0.174,0.204,0.221,0.241,0.288
616,2000,44.67178,-68.36026,72042544010538,52786635010538,9,2000,10,0.082,0.076,0.145,0.191,0.261
617,2000,43.36366,-70.52262,71999169010538,52858491010538,31,2000,0,0.017,0.021,0.031,0.039,0.04
618,2001,44.83748,-70.18946,70151211010538,52870489010538,7,2001,0,0.004,0.004,0.008,0.012,0.029
619,2001,44.79267,-69.35292,70191893010538,52926116010538,25,2001,0,0.007,0.013,0.024,0.04,0.054
620,1999,46.14397,-68.89571,71890032010538,52693488010538,21,1999,0,0.672,0.728,0.782,0.853,0.937
621,2000,46.14429,-68.16435,71945712010538,52722989010538,3,1999,10,0.097,0.127,0.153,0.193,0.257
622,2000,45.54282,-68.17694,72047075010538,52803062010538,19,2000,10,0.14,0.143,0.155,0.182,0.255
623,2001,45.94203,-68.58674,70175755010538,52896012010538,19,2001,0,0.113,0.166,0.273,0.349,0.374
624,1999,45.12483,-67.57684,71907918010538,52711669010538,29,1999,0,0.169,0.183,0.2,0.248,0.013
625,2000,44.97263,-68.06596,72041201010538,52785210010538,9,2000,0,0.094,0.191,0.28,0.318,0.388
626,2000,45.39769,-67.70963,71996962010538,52856275010538,29,2000,10,0.287,0.327,0.384,0.088,0.118
627,1999,45.4205,-68.11448,71959385010538,52764196010538,19,1999,0,0.006,0.032,0.071,0.12,0.176
628,2000,46.9178,-68.5737,72015575010538,52810734010538,3,2000,0,0.136,0.197,0.256,0.346,0.365
629,1999,44.34538,-70.40581,71921159010538,52756205010538,17,1999,10,0.455,0.53,0.625,0.586,0.659
630,1999,45.40718,-70.32434,71892487010538,52695847010538,25,1999,0,0.459,0.474,0.421,0.516,0.511
631,1999,44.56048,-68.06313,71955782010538,52733098010538,9,1999,0,0.36,0.348,0.368,0.415,0.437
632,2000,45.58316,-70.31122,71988697010538,52847526010538,25,2000,0,0.218,0.184,0.187,0.207,0.232
633,1999,45.47432,-68.47343,71962477010538,52767377010538,19,1999,0,0.069,0.121,0.18,0.247,0.246
634,1999,45.35295,-69.94923,71898201010538,52701697010538,25,1999,0,0.123,0.129,0.065,0.088,0.09
635,2001,46.23376,-69.12078,70185477010538,52919502010538,21,2001,10,0.434,0.039,0.085,0.132,0.192
636,1999,46.78433,-68.83443,71942470010538,52719725010538,3,1999,10,0.08,0.113,0.094,0.081,0.092
637,2000,45.64431,-70.24141,71982041010538,52840632010538,25,2000,0,0,0,0,0,0
638,2000,45.20147,-67.47041,71995039010538,52854258010538,29,2000,0,0.113,0.158,0.204,0.201,0.025
639,2000,44.09037,-70.1542,72011946010538,52806907010538,1,2000,0,0,0,0,0,0
640,1999,47.16902,-68.38705,71941639010538,52718885010538,3,1999,0,0,0,0,0,0
641,2001,44.72134,-69.36513,70198975010538,52933399010538,27,2001,10,0.241,0.215,0.233,0.226,0.231
642,2000,43.20581,-70.64771,71998349010538,52857652010538,31,2000,0,0,0,0,0,0
643,2000,44.32812,-69.58053,72001643010538,52788624010538,11,2000,0,0.248,0.289,0.329,0.347,0.344
644,1999,44.35044,-70.5622,71919202010538,52739011010538,17,1999,0,0,0,0,0,0
645,2001,44.14226,-70.28198,70140421010538,52897014010538,1,2001,0,0.036,0.036,0.042,0.044,0.023
646,2001,46.24489,-68.10447,70128991010538,52905643010538,3,2001,10,0.134,0.173,0.118,0.111,0.139
647,2001,46.74254,-69.14043,70136633010538,52863327010538,3,2001,10,0.164,0.215,0.163,0.271,0.332
648,1999,46.16035,-69.0679,71882182010538,52685641010538,21,1999,0,0.364,0.408,0.401,0.459,0.531
649,2001,47.07932,-69.6085,70138410010538,52865105010538,3,2001,10,0.234,0.266,0.331,0.029,0.046
650,1999,47.08529,-69.48739,71945201010538,52722493010538,3,1999,10,0.188,0.22,0.124,0.042,0.04
651,1999,45.20769,-70.06942,71898388010538,52701886010538,25,1999,0,0.305,0.342,0.396,0.453,0.507
652,1999,45.10416,-70.52619,71949978010538,52727291010538,7,1999,0,0,0,0,0,0
653,2001,43.61287,-70.60871,70127803010538,52945179010538,31,2001,10,0.419,0.44,0.508,0.18,0.216
654,2001,45.8164,-68.71274,70168859010538,52888741010538,19,2001,10,0.394,0.197,0.135,0.115,0.125
655,1999,46.67914,-68.70853,71942588010538,52719844010538,3,1999,0,0.223,0.262,0.343,0.384,0.398
656,2000,44.05677,-69.23601,71917669010538,52737456010538,13,1999,10,0.252,0.227,0.224,0.213,0.215
657,1999,44.65259,-69.35448,71905217010538,52708815010538,27,1999,0,0.167,0.198,0.205,0.246,0.278
658,2001,45.89452,-68.82527,70182993010538,52916973010538,21,2001,0,0.374,0.343,0.388,0.364,0.338
659,1999,45.70065,-68.46628,71963290010538,52768205010538,19,1999,10,0,0.002,0.03,0.084,0.155
660,2000,44.40032,-70.87026,72003985010538,52791101010538,17,2000,10,0.416,0.481,0.508,0.52,0.513
661,2000,45.06557,-70.55538,72033362010538,52777090010538,7,2000,10,0.195,0.135,0.166,0.197,0.051
662,2000,45.62286,-67.70094,71992094010538,52851206010538,29,2000,10,0.26,0.099,0.132,0.068,0.067
663,1999,44.07762,-69.64104,71918601010538,52738400010538,15,1999,0,0.225,0.277,0.313,0.355,0.358
664,2000,46.36738,-70.1045,71980682010538,52839126010538,25,2000,10,0.069,0.11,0.15,0.202,0.231
665,1999,46.01182,-69.61386,71877755010538,52680916010538,21,1999,0,0.016,0.056,0.122,0.183,0.236
666,1999,47.1897,-69.19628,71931132010538,52745441010538,3,1999,0,0.322,0.319,0.369,0.4,0.06
667,2000,46.07092,-69.77859,71978556010538,52836959010538,25,2000,0,0.029,0.097,0.176,0.245,0.307
668,1999,45.0069,-69.51714,71895254010538,52698717010538,25,1999,0,0.255,0.279,0.268,0.264,0.233
669,1999,45.58707,-69.20221,71883126010538,52686610010538,21,1999,0,0.021,0.03,0.037,0.051,0.051
670,2001,46.74018,-68.27516,70143143010538,52899797010538,3,2001,0,0.3,0.317,0.344,0.421,0.433
671,2000,44.95757,-67.45689,71992535010538,52851696010538,29,2000,0,0.257,0.258,0.289,0.306,0.346
672,2001,43.26695,-70.75706,70127472010538,52944842010538,31,2001,0,0.245,0.293,0.386,0.459,0.52
673,2000,45.94891,-67.81113,72021878010538,52818225010538,3,2000,10,0.193,0.133,0.173,0.241,0.245
674,1999,44.87902,-69.20877,71957427010538,52762165010538,19,1999,0,0.099,0.146,0.2,0.217,0.283
675,2001,45.02692,-67.11466,70119983010538,52937079010538,29,2001,0,0.112,0.161,0.21,0.293,0.337
676,2001,44.30214,-70.57834,70163370010538,52883071010538,17,2001,10,0.153,0.19,0.26,0.325,0.358
677,2000,44.64153,-67.3666,71994846010538,52854057010538,29,2000,0,0,0,0,0,0
678,1999,44.6555,-68.76525,71953765010538,52731092010538,9,1999,10,0.196,0.165,0.123,0.151,0.172
679,2001,44.22299,-68.64521,70153797010538,52873083010538,9,2001,0,0.054,0.07,0.09,0.097,0
680,2001,44.58691,-68.25428,70157327010538,52876766010538,9,2001,10,0.177,0.21,0.078,0.123,0.148
681,2001,45.4847,-69.36307,70178895010538,52912588010538,21,2001,0,0.074,0.12,0.159,0.214,0.212
682,2001,45.33283,-69.30614,70183674010538,52917668010538,21,2001,10,0.342,0.316,0.311,0.083,0.102
683,2000,47.24776,-69.29964,72030116010538,52773823010538,3,2000,10,0.269,0.31,0.114,0.121,0.152
684,1999,46.63089,-68.4574,71940956010538,52755587010538,3,1999,0,0.177,0.228,0.264,0.276,0.327
685,2001,43.70891,-70.60473,70149166010538,52868281010538,5,2001,10,0.301,0.22,0.258,0.264,0.323
686,2000,45.56144,-68.34312,72045664010538,52801577010538,19,2000,0,0.211,0.262,0.301,0.314,0.368
687,1999,44.39909,-68.57862,71954660010538,52731960010538,9,1999,0,0.285,0.29,0.26,0.275,0.222
688,2001,45.16408,-67.47579,70123608010538,52940878010538,29,2001,0,0.068,0.077,0.116,0.167,0.225
689,1999,44.86613,-70.96858,71919323010538,52739129010538,17,1999,10,0.239,0.297,0.174,0.217,0.261
690,2000,44.26197,-69.64961,72002591010538,52789639010538,15,2000,0,0,0,0,0,0
691,2001,47.21823,-69.23403,70137972010538,52864659010538,3,2001,50,0.155,0.128,0.199,0.282,0.001
692,2001,46.57066,-69.13325,70179453010538,52913179010538,21,2001,50,0.092,0.084,0.12,0.14,0.201
693,2001,45.19737,-70.7693,70149942010538,52869180010538,7,2001,10,0.124,0.039,0.052,0.006,0.024
694,1999,45.19996,-67.52267,71906649010538,52710290010538,29,1999,10,0.193,0.051,0.05,0.073,0.061
695,1999,45.47299,-69.07309,71884556010538,52687998010538,21,1999,0,0.185,0.204,0.249,0.296,0.333
696,2000,45.95143,-69.02337,71968002010538,52826152010538,21,2000,0,0.199,0.244,0.289,0.312,0.335
697,1999,46.2298,-67.79611,71936828010538,52751427010538,3,1999,0,0,0,0,0,0
698,2001,46.53831,-68.4591,70134064010538,52860701010538,3,2001,10,0.118,0.143,0.043,0.094,0.144
699,2001,44.69557,-68.07396,70156326010538,52875740010538,9,2001,10,0.128,0.151,0.005,0.009,0.017
700,2001,45.63211,-69.09796,70176736010538,52910322010538,21,2001,0,0.128,0.161,0.194,0.267,0.207
701,2001,45.58954,-67.9935,70121892010538,52939108010538,29,2001,10,0.065,0.082,0.11,0.13,0.17
702,1999,46.07938,-68.2316,71937955010538,52752546010538,3,1999,0,0.091,0.141,0.195,0.241,0.322
703,1999,43.98818,-69.51656,71918153010538,52737946010538,15,1999,10,0.261,0.32,0.394,0.164,0.173
704,1999,44.54882,-68.47232,71954196010538,52731488010538,9,1999,10,0.177,0.174,0.147,0.176,0.2
705,2001,46.3273,-68.04897,70132398010538,52909234010538,3,2001,10,0.207,0.252,0.266,0.138,0.146
706,1999,45.5365,-68.83023,71959947010538,52764804010538,19,1999,10,0.019,0.04,0.065,0.125,0.215
707,2000,44.86694,-69.50583,71981517010538,52840060010538,25,2000,10,0.344,0.134,0.017,0.05,0.096
708,2000,43.63518,-70.64147,71999478010538,52858810010538,31,2000,0,0.045,0.044,0.156,0.16,0.184
709,2001,47.12236,-69.3603,70137184010538,52863857010538,3,2001,50,0.035,0.042,0.042,0.108,0.168
710,2000,44.83627,-69.92924,71982934010538,52841572010538,25,2000,0,0.009,0.009,0.01,0.01,0.009
711,1999,43.59024,-70.58731,71913558010538,52717374010538,31,1999,0,0.285,0.315,0.378,0.408,0.429
712,2000,45.98286,-69.21076,71968451010538,52826622010538,21,2000,50,0.003,0.002,0.018,0.065,0.133
713,2000,46.34071,-69.66566,71970784010538,52829041010538,21,2000,10,0.289,0.326,0.307,0.335,0.335
714,2001,45.78567,-70.32144,70190414010538,52924531010538,25,2001,0,0.16,0.186,0.21,0.241,0.224
715,2000,44.8424,-70.53065,72036563010538,52780444010538,7,2000,10,0.239,0.243,0.052,0.081,0.109
716,2001,44.72045,-70.59116,70164691010538,52884473010538,17,2001,0,0.206,0.186,0.198,0.197,0.203
717,1999,44.86221,-68.47808,71958985010538,52763790010538,19,1999,10,0.068,0.095,0.156,0.172,0.198
718,1999,46.93648,-68.38852,71941777010538,52719024010538,3,1999,30,0.264,0.158,0.074,0,0.003
719,2001,46.46626,-67.90871,70131982010538,52908806010538,3,2001,0,0.089,0.126,0.139,0.17,0.192
720,2000,43.73432,-70.78043,71999971010538,52859310010538,31,2000,10,0.268,0.187,0.225,0.23,0.286
721,2000,44.52209,-69.24376,71990519010538,52849556010538,27,2000,10,0.217,0.277,0,0.336,0.375
722,1999,46.63551,-69.85749,71934816010538,52749305010538,3,1999,10,0.042,0.08,0.106,0.171,0.222
723,2000,44.03487,-70.4058,72011448010538,52806348010538,1,2000,10,0.117,0.135,0.149,0.117,0.097
724,2001,46.01111,-68.53107,70175650010538,52895903010538,19,2001,0,0.128,0.173,0.173,0.206,0.085
725,1999,46.02847,-68.58569,71964150010538,52769072010538,19,1999,10,0.284,0.244,0.162,0.137,0.125
726,1999,44.91214,-70.67039,71953006010538,52730331010538,7,1999,10,0.39,0.375,0.074,0.073,0.014
727,2001,43.80322,-70.72017,70149516010538,52868639010538,5,2001,10,0.105,0.084,0.067,0.095,0.119
728,2000,44.2097,-69.27008,72001994010538,52789016010538,13,2000,0,0,0,0,0,0
729,2001,47.00741,-69.674,70138618010538,52865317010538,3,2001,10,0.197,0.196,0.029,0.056,0.105
730,2000,45.80856,-70.3259,71981947010538,52840536010538,25,2000,10,0.031,0.055,0.022,0.052,0.073
731,2001,44.51263,-70.52344,70167150010538,52886981010538,17,2001,10,0.356,0.397,0.408,0.335,0.384
732,2001,45.82713,-69.49318,70186461010538,52920511010538,21,2001,10,0.065,0.148,0.255,0.291,0.344
733,2000,45.07582,-68.18345,72041327010538,52785338010538,9,2000,10,0.046,0.098,0.16,0.215,0.302
734,1999,44.19921,-70.68856,71922259010538,52757315010538,17,1999,0,0.226,0.209,0.225,0.239,0.195
735,1999,45.73978,-70.38813,71900000010538,52703518010538,25,1999,0,0.223,0.253,0.279,0.346,0.361
736,1999,44.9374,-69.1312,71963789010538,52768707010538,19,1999,10,0.171,0.196,0.245,0.309,0.362
737,2001,45.9849,-67.92213,70141074010538,52897600010538,3,2001,0,0.201,0.239,0.272,0.262,0.263
738,2001,44.50591,-70.75322,70165098010538,52884886010538,17,2001,0,0.375,0.344,0.424,0.447,0.492
739,2000,45.30214,-70.31325,71902652010538,52706187010538,25,1999,10,0.301,0.311,0.329,0.304,0.254
740,2001,44.51696,-69.5722,70158652010538,52878088010538,11,2001,0,0.152,0.18,0.259,0.255,0.286
741,2000,44.59864,-69.16441,71989783010538,52848727010538,27,2000,0,0.158,0.2,0.249,0.284,0.342
742,2000,44.99025,-67.06332,71994567010538,52853772010538,29,2000,0,0.003,0.003,0.004,0.004,0.004
743,2001,46.45684,-68.94827,70179037010538,52912748010538,21,2001,0,0.38,0.374,0.447,0.508,0.559
744,2001,46.21332,-68.95546,70177864010538,52911499010538,21,2001,0,0.106,0.112,0.135,0.126,0.136
745,2000,45.84448,-68.71334,72049208010538,52805269010538,19,2000,10,0.135,0.022,0.047,0.077,0.121
746,1999,47.13247,-68.62846,71930692010538,52744973010538,3,1999,0,0.313,0.315,0.316,0.299,0.3
747,2001,45.06238,-67.9771,70121797010538,52939009010538,29,2001,0,0.035,0.028,0.028,0.035,0.038
748,2001,45.65312,-70.01838,70195890010538,52930294010538,25,2001,0,0.06,0.074,0.135,0.173,0.076
749,2000,45.37311,-68.12139,72046354010538,52802282010538,19,2000,10,0.122,0.155,0.167,0.091,0.133
750,2000,44.88859,-68.53756,71876824010538,52679973010538,19,1999,10,0.34,0.34,0.314,0.33,0.213
751,2001,44.94257,-69.24329,70175335010538,52895578010538,19,2001,0,0.018,0.032,0.007,0.006,0.012
752,2001,45.07703,-69.1249,70175223010538,52895462010538,19,2001,10,0.267,0.263,0.311,0.332,0.411
753,2001,44.37289,-69.10449,70200273010538,52934858010538,27,2001,10,0.241,0.243,0.269,0.29,0.331
754,2001,45.10676,-69.9256,70188905010538,52922954010538,25,2001,10,0.584,0.527,0.648,0.009,0.023
755,2001,45.31121,-69.11988,70183459010538,52917449010538,21,2001,10,0.185,0.189,0.118,0.2,0.22
756,2001,44.15788,-69.10778,70161127010538,52880705010538,13,2001,0,0.105,0.119,0.166,0.219,0
757,2000,46.45799,-69.78733,71987086010538,52845885010538,25,2000,10,0.203,0.24,0.128,0.167,0.218
758,2001,46.13914,-70.01639,70189339010538,52923421010538,25,2001,10,0.243,0.246,0.116,0.002,0.01
759,2001,45.4531,-68.17993,70172695010538,52892868010538,19,2001,0,0.215,0.216,0.249,0.228,0.181
760,1999,44.05184,-69.46112,71918326010538,52738120010538,15,1999,0,0.339,0.335,0.339,0.375,0.31
