variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
EC,32,998,OH,900,NA,NA,NA
EM,1,101,WB,467,465.75356915914057,-0.2669016789848891,-1.246430840859432
EM,2,73,WL,634,419.85267600350977,-33.777180441086784,-214.14732399649023
EM,3,202,DF,696,400.61492406823146,-42.44038447295525,-295.38507593176854
EM,4,113,LM,768,371.690290572451,-51.60282674837878,-396.309709427549
EM,5,72,LL,775,NA,NA,NA
EM,6,66,RM,751,362.8571653091136,-51.68346666989166,-388.1428346908864
EM,7,108,LP,707,395.32954052246896,-44.08351619201288,-311.67045947753104
EM,8,93,ES,661,475.38141453662394,-28.081480402931327,-185.61858546337606
EM,9,19,AF,635,416.46962626402103,-34.41423208440614,-218.53037373597897
LS,1,105,JP,356,256.22691820653415,-28.02614657119827,-99.77308179346585
LS,2,130,SC,408,258.2897667625198,-36.69368461702947,-149.71023323748022
LS,3,125,RN,505,357.9761358758874,-29.113636460220317,-147.0238641241126
LS,4,125,RP,505,357.9761358758874,-29.113636460220317,-147.0238641241126
LS,5,129,WP,529,370.3851303126324,-29.983907313302005,-158.61486968736762
LS,6,94,WS,412,315.74340085032816,-23.363252220794134,-96.25659914967184
LS,7,91,NS,412,295.9131722282824,-28.176414507698446,-116.0868277717176
LS,8,12,BF,655,334.15843715469464,-48.98344470920693,-320.84156284530536
LS,9,95,BS,500,316.1202866947933,-36.775942661041334,-183.87971330520668
LS,10,71,TA,387,215.73508386512435,-44.25450029324952,-171.26491613487565
LS,11,241,WC,771,479.6876133466536,-37.78370773713961,-291.3123866533464
LS,12,261,EH,510,406.23050279378583,-20.34696023651258,-103.76949720621417
LS,13,299,OS,354,NA,NA,NA
LS,14,68,RC,354,244.311916571992,-30.98533430169718,-109.68808342800801
LS,15,543,BA,423,314.78854328940304,-25.581904659715594,-108.21145671059696
LS,16,544,GA,414,300.88502218628076,-27.322458409110926,-113.11497781371924
LS,17,742,EC,648,367.9244187523768,-43.221540315991234,-280.0755812476232
LS,18,317,SV,590,352.20360922014305,-40.30447301353508,-237.79639077985695
LS,19,316,RM,421,344.7702401445142,-18.10683131959282,-76.22975985548578
LS,20,762,BC,384,300.1713087470731,-21.83038834711638,-83.82869125292689
LS,21,972,AE,282,260.7227331516033,-7.545130088083943,-21.27726684839672
LS,22,975,RL,227,215.05021262858585,-5.264223511636187,-11.949787371414146
LS,23,977,RE,282,NA,NA,NA
LS,24,371,YB,369,351.48845523330647,-4.745676088534832,-17.511544766693532
LS,25,951,BW,526,336.02077907408113,-36.11772260949028,-189.97922092591887
LS,26,318,SM,371,322.16655388906986,-13.162653938256105,-48.83344611093014
LS,27,314,BM,371,NA,NA,NA
LS,28,531,AB,364,339.9098357255886,-6.6181769984646674,-24.090164274411393
LS,29,541,WA,408,385.34897525535865,-5.551721751137585,-22.651024744641347
LS,30,802,WO,361,282.81383739763584,-21.658216787358494,-78.18616260236416
LS,31,804,SW,361,281.2672219105701,-22.08664213003599,-79.73277808942993
LS,32,823,BR,423,297.00655681479515,-29.785683968133533,-125.99344318520485
LS,33,826,CK,336,NA,NA,NA
LS,34,833,RO,414,324.69969633865276,-21.57012165733025,-89.30030366134724
LS,35,837,BO,370,295.0633793999401,-20.253140702718888,-74.93662060005988
LS,36,809,NP,336,295.815239541209,-11.959750136544942,-40.184760458791004
LS,37,402,BH,301,257.1283132624228,-14.575311208497407,-43.87168673757719
LS,38,403,PH,276,NA,NA,NA
LS,39,407,SH,302,228.94817093245405,-24.189347373359585,-73.05182906754595
LS,40,743,BT,520,358.62966909164703,-31.032755943914033,-161.37033090835297
LS,41,746,QA,562,306.34836188228405,-45.489615323437,-255.65163811771595
LS,42,741,BP,384,306.30965764418,-20.231859988494794,-77.69034235582001
LS,43,375,PB,466,308.7360928257276,-33.74761956529451,-157.2639071742724
LS,45,601,BN,283,202.45670964368452,-28.460526627673314,-80.54329035631548
LS,46,602,WN,283,275.2900482094135,-2.724364590313251,-7.709951790586501
LS,47,701,HH,304,321.85739299712316,5.874142433264196,17.857392997123156
LS,48,901,BK,343,267.8069918745448,-21.92215980333971,-75.19300812545521
LS,49,998,OH,257,NA,NA,NA
LS,50,313,BE,344,259.46999310798617,-24.572676422097043,-84.53000689201383
LS,51,315,ST,243,NA,NA,NA
LS,52,319,MM,243,NA,NA,NA
LS,53,391,AH,375,NA,NA,NA
LS,54,421,AC,243,NA,NA,NA
