SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
631,0.455460164625,6.278324174625,532.8948763628654,-0.0164386052445625,-1.6150482627445624,644.8255932534424,-1.6439634762192503,132,0.7,0.30000000000000004,606.7691495106462,-1.635288912176844,NA,611.2463781862693,0.66,0.33999999999999997,qr_dominant
746,-0.317916120925,5.504947889075,245.9056409745179,0.06384039823562375,-1.5347692592643762,397.3306967938246,-1.4473210196417776,31,0.31,0.69,269.3765246265104,-1.5076603049813706,NA,292.84740827850294,0.155,0.845,bayes_dominant
747,-0.141484297623025,5.681379712376975,293.35389483530366,0.0547220228034825,-1.5438876346965174,379.19148845616417,-1.408311015199249,47,0.47,0.53,313.52572933620587,-1.480166623532801,NA,333.6975638371081,0.235,0.765,bayes_dominant
763,0.0346076939597625,5.857471703959763,349.83852957487755,-1.884804243875001e-4,-1.5987981379243874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,-0.44764633737125,5.37521767262875,215.986881626407,0.050610706669675,-1.547998950830325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805,0.1455162139713625,5.968380223971362,390.8720325638424,0.05038297663014375,-1.5482266808698562,668.6864263347256,-0.9493903859975534,47,0.47,0.53,456.15841509999996,-1.266773622279874,NA,521.4447976361575,0.235,0.765,bayes_dominant
815,-0.366131244625,5.4567327653749995,234.3305593662216,0.00804628067838375,-1.5905633768216163,395.62779377532627,-1.3514765545906453,175,0.7,0.30000000000000004,347.2386234525949,-1.4232026012599366,NA,347.2386234525949,0.7,0.30000000000000004,qr_dominant
818,-0.149580015545,5.673283994455,290.98857186390904,0.0499404696446625,-1.5486691878553374,434.35054066804264,-1.1675422385340803,32,0.32,0.6799999999999999,313.9264868725704,-1.426708564072535,NA,336.86440188123174,0.16,0.84,bayes_dominant
920,-0.3419818237405,5.4808821862595,240.0583902019995,-0.04879171395926,-1.64740137145926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,0.0900227203374,5.9128867303374,369.7720483863672,0.0494546378058375,-1.5491550196941624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,-0.0085190718032125,5.814344938196787,335.0718338350672,0.0017077601073625,-1.5969018973926374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
