year,tpa,ba,qmd,sdi,top_ht,n_trees,scenario,variant
11,156,55.04014821443451,8.042921010985756,109.98000954669328,5.265504610935775,156,Default FVS-like,CI
12,150,53.961587774123416,8.121439918677167,107.41187098192455,5.2680358363045885,150,Default FVS-like,CI
13,145,53.05029870796049,8.190232322585185,105.2466877766165,5.27056365909427,145,Default FVS-like,CI
14,141,52.841104788603495,8.289201437051187,104.3354721994037,5.273088558405061,141,Default FVS-like,CI
15,138,52.665053625754695,8.36484749632499,103.61537916982714,5.275613406565407,138,Default FVS-like,CI
16,137,52.55837325984148,8.386813376883866,103.29842950866377,5.278138321457154,137,Default FVS-like,CI
17,135,52.27263545523028,8.425712176055674,102.54922739139784,5.280663585125106,135,Default FVS-like,CI
18,134,50.91248975031902,8.346340032196565,100.2549898038283,5.265494856724721,134,Default FVS-like,CI
19,133,51.0306275772195,8.38737265871599,100.29315049203905,5.268004015229446,133,Default FVS-like,CI
20,131,50.195601428350486,8.381726560775597,98.67827407844231,5.270514521488771,131,Default FVS-like,CI
21,131,50.45559754863597,8.403405768815277,99.0882383926156,5.273021898113467,131,Default FVS-like,CI
22,128,49.368513382088445,8.40923221469831,96.92680648238688,5.275531281834604,128,Default FVS-like,CI
23,127,49.472258309470746,8.451140319630083,96.93995141613313,5.278036117744892,127,Default FVS-like,CI
24,123,47.75631011405063,8.437215299329113,93.63855808480339,5.280542194810779,123,Default FVS-like,CI
25,122,47.88344672585788,8.48299267627503,93.6873863643041,5.283040065246398,122,Default FVS-like,CI
26,118,46.51011090170101,8.50097989861686,90.924251599368,5.285539275842764,118,Default FVS-like,CI
27,115,46.28242202618903,8.590044709495757,90.10740783086223,5.28803148875464,115,Default FVS-like,CI
28,115,46.51505678246146,8.611606222862227,90.47069400628268,5.2905229791767185,115,Default FVS-like,CI
29,113,46.345687997984484,8.67165019200207,89.8942167844845,5.293016400821139,113,Default FVS-like,CI
30,109,45.98527880773518,8.794931643719924,88.69918097129379,5.2955094102524605,109,Default FVS-like,CI
31,107,45.611033414465474,8.84055178872297,87.79770641485263,5.298000842276902,107,Default FVS-like,CI
32,105,45.52929933814876,8.916350645780629,87.34532348970414,5.300490546561477,105,Default FVS-like,CI
33,102,45.093696288531085,9.003142771499427,86.17926028148395,5.302980266233482,102,Default FVS-like,CI
34,99,44.24772953068404,9.052409744730477,84.38043135096149,5.305467768350908,99,Default FVS-like,CI
35,97,44.053951241200124,9.12521008168665,83.74551221893044,5.307950284615286,97,Default FVS-like,CI
36,95,43.78028763011684,9.192080265463309,82.98560548639502,5.310431954502235,95,Default FVS-like,CI
37,94,43.72925050106233,9.235457103698442,82.73486799718594,5.31291220228332,94,Default FVS-like,CI
38,93,43.62956891658362,9.27438866481659,82.40922734960148,5.3153925067970835,93,Default FVS-like,CI
39,91,43.40053567558712,9.351109749631194,81.71029053572687,5.317872518742087,91,Default FVS-like,CI
40,91,43.60128710420285,9.37271181963593,82.01346128463379,5.320351314004944,91,Default FVS-like,CI
41,90,43.70172229593854,9.435487141656083,81.98591623136686,5.322831881341529,90,Default FVS-like,CI
42,87,42.63285173322519,9.478702026513531,79.83644505295287,5.325313514256261,87,Default FVS-like,CI
43,85,42.31110708547202,9.553313659837729,78.98891622239374,5.327787811845912,85,Default FVS-like,CI
44,85,42.50291727480519,9.574943333199267,79.27614924591049,5.33026001321883,85,Default FVS-like,CI
45,84,42.469378199079394,9.627967454694353,79.04098447048568,5.3327339411705115,84,Default FVS-like,CI
46,84,42.66039120609615,9.649594846636868,79.32614659016039,5.335207898488515,84,Default FVS-like,CI
47,84,42.85179454277946,9.671217920767337,79.61163859675658,5.337683568536761,84,Default FVS-like,CI
48,82,42.75036427767434,9.776857584351223,79.08310478536926,5.340160947519591,82,Default FVS-like,CI
49,80,38.90441685156062,9.442582040971763,72.964341573642,5.231726997875404,80,Default FVS-like,CI
50,75,37.26050480603721,9.543991434280263,69.58697840073918,5.2341930231158464,75,Default FVS-like,CI
0,200,60.14999723724917,7.425729302276445,124.04128957650833,5.237633851850626,200,Calibrated (period-level bug),CI
1,161,61.49488705337335,8.368408490667319,120.96721572202733,5.252023862619342,161,Calibrated (period-level bug),CI
2,136,68.80911132137362,9.63140899931122,128.04454420034176,5.358367462554877,136,Calibrated (period-level bug),CI
3,116,71.94576718633728,10.663749503755213,128.6036913666832,5.267671339056445,116,Calibrated (period-level bug),CI
4,100,76.24104102545836,11.82308234117317,130.83766844870712,5.3009097577007065,100,Calibrated (period-level bug),CI
5,91,89.79312904257746,13.45046076865985,146.44162434968115,5.356458709591562,91,Calibrated (period-level bug),CI
6,79,98.49848052487542,15.11950333726761,153.38568113502254,5.461968875208389,79,Calibrated (period-level bug),CI
7,68,101.77821757905558,16.565680062593035,152.87616872027408,5.510277448327058,68,Calibrated (period-level bug),CI
8,61,105.39631346660684,17.79852849010513,153.88500835455233,5.50807453351825,61,Calibrated (period-level bug),CI
9,54,108.81791065120491,19.221603610977017,154.12606659283017,5.592876360930059,54,Calibrated (period-level bug),CI
10,44,101.61722559699558,20.577548493507727,140.10365291915636,5.607482833645912,44,Calibrated (period-level bug),CI
11,38,99.13805182017111,21.87080141182241,133.4339786067243,5.645291353541346,38,Calibrated (period-level bug),CI
12,29,85.14022816721346,23.200893539896697,111.9523100873739,5.73634175723597,29,Calibrated (period-level bug),CI
13,21,67.75316369520002,24.32156112907371,87.44511799122903,5.742675604632089,21,Calibrated (period-level bug),CI
14,17,62.59984449229907,25.98354913975699,78.71182259082187,5.853282913943304,17,Calibrated (period-level bug),CI
15,16,67.86765039035947,27.88738041780544,82.98495730715919,5.971613009148174,16,Calibrated (period-level bug),CI
16,15,71.69018996335703,29.60196504249087,85.61714230671716,6.07608411165362,15,Calibrated (period-level bug),CI
17,12,64.6259074662419,31.42309870151216,75.38169635542339,6.153464355578071,12,Calibrated (period-level bug),CI
18,10,59.65835086836599,33.07287331922886,68.1949858235156,6.247495707173437,10,Calibrated (period-level bug),CI
19,10,66.18416075216047,34.834801365136826,74.119316915954,6.362704448277733,10,Calibrated (period-level bug),CI
20,7,49.04790604581473,35.84243620788474,54.31328379646153,6.375120230833688,7,Calibrated (period-level bug),CI
21,7,53.90154699373802,37.57404059471917,58.5859018803886,6.490644297253895,7,Calibrated (period-level bug),CI
22,6,50.47454140061783,39.27325261201739,53.91091816256797,6.596068214127919,6,Calibrated (period-level bug),CI
23,6,54.71594213671634,40.890048057465,57.51717299413957,6.706105757405289,6,Calibrated (period-level bug),CI
24,6,58.93335125185851,42.43666527453836,61.04863463536728,6.81226488146917,6,Calibrated (period-level bug),CI
25,5,52.1269204799995,43.720219889789405,53.366061960811805,6.87484528523265,5,Calibrated (period-level bug),CI
26,5,55.656192991533615,45.17602877406888,56.24674912662154,6.97669146059846,5,Calibrated (period-level bug),CI
27,5,59.13753266697466,46.567497902358866,59.05314947336467,7.074708321104328,5,Calibrated (period-level bug),CI
28,4,49.60671301051388,47.68442337719231,49.074324519552555,7.153851850453972,4,Calibrated (period-level bug),CI
29,4,52.386616799835195,49.002302358968336,51.26930743760537,7.247725044329566,4,Calibrated (period-level bug),CI
30,2,27.49437682679474,50.20456955326089,26.65157679815934,7.333444054990773,2,Calibrated (period-level bug),CI
31,1,13.816517178681895,50.331004262850854,13.37969247841086,7.343327532262796,1,Calibrated (period-level bug),CI
32,1,14.553364790378234,51.65567167939542,13.949364124852968,7.43868511757497,1,Calibrated (period-level bug),CI
33,1,15.277089936515592,52.92448285182581,14.503368444803025,7.530479063473236,1,Calibrated (period-level bug),CI
34,1,15.987016761695767,54.14022053741775,15.04179387122646,7.618836776817684,1,Calibrated (period-level bug),CI
35,1,16.68269060197938,55.30563117559676,15.564845412127532,7.7038936733306596,1,Calibrated (period-level bug),CI
36,1,17.363839297758712,56.42339111836444,16.07281665740236,7.785789274087492,1,Calibrated (period-level bug),CI
0,200,60.14999723724917,7.425729302276445,124.04128957650833,6.308951317963151,200,Calibrated (annualized),CR
1,199,60.8103499628027,7.485115713436334,125.00912020255103,6.319379434615531,199,Calibrated (annualized),CR
2,198,62.03711836886729,7.5793073489556475,126.90261385518974,6.329791939547823,198,Calibrated (annualized),CR
3,195,62.55451678958614,7.669169501681027,127.36663983558326,6.340185641317724,195,Calibrated (annualized),CR
4,192,62.99256439894928,7.755866683534726,127.6903028226566,6.3505642715648065,192,Calibrated (annualized),CR
5,190,62.95258371613135,7.79410557996457,127.36159450563889,6.360928138870801,190,Calibrated (annualized),CR
6,189,63.90954543505074,7.873870496604525,128.77868131201114,6.371279703181246,189,Calibrated (annualized),CR
7,189,65.2376514200002,7.955263371466947,130.92192326359927,6.38161346457021,189,Calibrated (annualized),CR
